SHAP_Rank,Feature,Electrode,Region,Lobe,Hemisphere,Feature_Type,Mean_abs_SHAP,Mean_signed_SHAP,MDD_median,MDD_IQR,HC_median,HC_IQR,U_statistic,p_value,p_FDR,Significant_FDR_0.05,r_rb,Effect_size,Direction,Candidate_Biomarker,MDD_Shapiro_p,HC_Shapiro_p,Any_NonNormal,Scalp
1,Alpha_Band_psd_mean_11,P4,Parietal,Parietal,Right,Alpha_Band_psd_mean,0.024434530861645275,0.004264005173385915,5.4280300065,10.281191239750001,2.832018694,3.016143365,1424.0,0.0014794248767053412,0.003907347116384547,True,0.38926829268292673,Medium,Higher in MDD,True,1.2802095622714344e-05,8.470403800056184e-06,True,Right parietal scalp
2,Alpha_Band_psd_variance_12,O2,Occipital,Occipital,Right,Alpha_Band_psd_variance,0.023731696410476254,0.0011338965038084595,75.56013278,754.552795393,10.2421327,62.902580277000006,1430.0,0.0012529264707163445,0.003907347116384547,True,0.3951219512195121,Medium,Higher in MDD,True,2.32216218707204e-11,3.92970834285912e-11,True,Right occipital scalp
4,Alpha_Band_psd_variance_14,T4,Temporal,Temporal,Right,Alpha_Band_psd_variance,0.02110522007605213,-0.0008947270373000897,3.820759586,35.70833059575,1.227271072,2.831499823,1427.0,0.0013618383850774987,0.003907347116384547,True,0.3921951219512194,Medium,Higher in MDD,True,4.1288865494834393e-10,3.647931604149361e-11,True,Right mid-temporal scalp
5,Alpha_Band_psd_mean_4,O1,Occipital,Occipital,Left,Alpha_Band_psd_mean,0.017322754538373755,0.00042506586115585157,9.866646575499999,16.213485217250003,4.254910486,6.579814814000001,1456.0,0.0005948718317839988,0.003907347116384547,True,0.4204878048780487,Medium,Higher in MDD,True,1.926994758358634e-06,4.00854803368925e-07,True,Left occipital scalp
7,Hjorth_Complexity_4,O1,Occipital,Occipital,Left,Hjorth_Complexity,0.015310296434842897,0.002078161370618674,0.727989559,0.17264792499999992,0.822455971,0.19230883200000004,628.0,0.001562938846553819,0.003907347116384547,True,-0.3873170731707317,Medium,Higher in HC,True,0.4691898578683257,0.33839726250216984,False,Left occipital scalp
8,Alpha_Band_psd_mean_3,P3,Parietal,Parietal,Left,Alpha_Band_psd_mean,0.015244724866134119,0.0014474198544819604,5.2533587829999995,7.5327900670000005,2.562411603,2.858679312,1442.0,0.000892885913847065,0.003907347116384547,True,0.40682926829268284,Medium,Higher in MDD,True,1.8609230656881577e-08,9.318466172404745e-07,True,Left parietal scalp
13,Wavelet_Energy_12,O2,Occipital,Occipital,Right,Wavelet_Energy,0.013441032111226298,0.0005696226896490065,5622272.867000001,6374395.884249999,3236630.567,2753795.986,1447.0,0.0007733750876284024,0.003907347116384547,True,0.41170731707317065,Medium,Higher in MDD,True,3.828314272549461e-07,8.655099036251982e-06,True,Right occipital scalp
19,Beta_Band_psd_mean_12,O2,Occipital,Occipital,Right,Beta_Band_psd_mean,0.009713692500597698,0.0014090759609991167,1.032547262,0.889828883,0.684511407,0.720422385,1431.0,0.0012184485519309304,0.003907347116384547,True,0.39609756097560966,Medium,Higher in MDD,True,9.064100552258628e-06,3.6511653550393176e-05,True,Right occipital scalp
11,Beta_Band_psd_variance_15,T6,Temporo-parietal,Temporal,Right,Beta_Band_psd_variance,0.014523476574022616,0.0012593220825760836,0.27136362199999997,0.5067198405000001,0.097133083,0.170131275,1390.0,0.003643491540026948,0.0066245300727762685,True,0.35609756097560985,Medium,Higher in MDD,True,2.8248233088167494e-09,3.5076340118412574e-09,True,Right posterior temporal scalp
16,Alpha_Band_psd_mean_6,T3,Temporal,Temporal,Left,Alpha_Band_psd_mean,0.010038599666775491,0.00022964470031222652,3.2042019745,3.37156989275,1.846723137,2.353031906,1391.0,0.003551640748774862,0.0066245300727762685,True,0.3570731707317074,Medium,Higher in MDD,True,1.31604133115979e-06,0.0015205232164867267,True,Left mid-temporal scalp
