Feature,CSV_Feature_Index,Electrode,Region,Lobe,Hemisphere,Scalp,Feature_Type
Theta_Band_psd_mean_12,195,O2,Occipital,Occipital,Right,Right occipital scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_12,196,O2,Occipital,Occipital,Right,Right occipital scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_12,197,O2,Occipital,Occipital,Right,Right occipital scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_12,198,O2,Occipital,Occipital,Right,Right occipital scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_12,199,O2,Occipital,Occipital,Right,Right occipital scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_12,200,O2,Occipital,Occipital,Right,Right occipital scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_12,201,O2,Occipital,Occipital,Right,Right occipital scalp,Delta_Band_psd_variance
Fractal_Dimension_12,202,O2,Occipital,Occipital,Right,Right occipital scalp,Fractal_Dimension
Wavelet_Energy_12,203,O2,Occipital,Occipital,Right,Right occipital scalp,Wavelet_Energy
Spectral_Entropy_12,204,O2,Occipital,Occipital,Right,Right occipital scalp,Spectral_Entropy
